"統一編號","商業名稱","商業地址","登記狀態"
"10122517","熊寶貝寵物館","嘉義市西區西平里中興路７４０號一樓","歇業／撤銷"
"10127702","狗仔部落寵物精品館","臺南市永康區復華里復國一路560號1樓","核准設立"
"10144532","賓果寵物店","臺南市新營區埤寮里中正路484巷38號","歇業／撤銷"
"10154539","仔仔寵物館","臺南市將軍區長沙里長沙48之1號1樓","歇業／撤銷"
"10160130","寶寶寵物生活館","臺南市仁德區保安里二仁路1段38、40號","核准設立"
"10178119","愛狗族寵物店","臺南市北區正覺里公園路759之1號1樓","停業"
"10178602","寵愛一生寵物美容館","臺南市東區仁和里仁東街32號1樓","歇業／撤銷"
"10183289","群冠名犬館郡西分店","臺南市中西區民主里郡西路130號1樓","廢止"
"10203519","愛狗王寵物生活館","高雄市新興區文衡２路１６７巷２９之１號","歇業／撤銷"
"10209181","馨加寵物美容用品店","高雄市苓雅區青年１路２９３號","歇業／撤銷"
"10210722","優優貓園寵物生活館","高雄市三民區建工路３３３號","歇業／撤銷"
"10237861","阿咕寵物店","高雄市苓雅區民權一路１９號１樓","核准設立"
"10250152","龍鳳水族館","高雄市楠梓區後昌新路１３０號１樓","歇業／撤銷"
"10274252","多麗寵物","高雄市左營區南屏路３７２號","核准設立"
"10282437","來億幼犬專賣店","高雄市三民區大裕路２０６號","歇業／撤銷"
"10293075","潔兒寵物舘","高雄市苓雅區海邊路94號","歇業／撤銷"
"10351757","櫻花寵物舖","臺北市南港區興中路56巷7號","歇業／撤銷"
"10414562","巧虎寵物店","臺南市善化區文昌里文賢街12號1樓","核准設立"
"10419362","現代寵物店","臺南市佳里區建南里中山路69號1樓","歇業／撤銷"
"10424978","北嘉義寵物水族百貨用品店","嘉義市西區國華里林森西路１８６號一樓","核准設立"
"10434005","龍族水族寵物","臺南市新營區民榮里新進路2段201號","核准設立"
"10466527","中華狗仔店","臺南市北區文元里中華北路2段36號1樓","歇業／撤銷"
"10473858","喬巴犬舍","臺南市六甲區甲南里文化街26號1樓","歇業／撤銷"
"10474717","帕比寵物","臺南市新營區大宏里民治路27之12號1樓","核准設立"
"10481816","花草寵物生活坊","臺南市北區成德里和緯路2段442號1樓","歇業／撤銷"
